id,title,primary_sponsor,opposer_count,supporter_count
2952375,H.R. 5376: Build Back Better Act,Rep. John Yarmuth (D-KY-3),13,6
2900994,H.R. 3684: Infrastructure Investment and Jobs Act,Unknown,6,13
